,,,,,,,,,,,,,,,
,,Blood Talon 1.8,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_hwo
when sharing tech about this character
on Twitter",
,,HWOARANG,,"f,f+4","_Safe mid heat enganger, useful for approaching",,,,df+2,"f+4⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,,
,,by applay,,df+3+4,_Useful in punish situations,,,,b+3,,,,,,
,,,,LFS f+3,_Heat Engager from stance,,,,"ws+2,3",(whiff LFS 1) ⏵ u+3 ⏵ LFS uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,,
,HEAT SYSTEM (unique),,,RFS b+3,_Heat Engager from stance,,,,u+3+4,"db+4~F⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,LEGEND,
,1. Some RFS stance moves are enhanced,,,RFF df+3,_Homing Attack useful for approaching,,,,LOW PARRY,f+4⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,LFF,default stance
,,,,,,,,,"JFSR 
(f,n,df+4)","3+4 
⏵ RFF [ 3~4 ] ⏵ f+4 ⏵ RFS [ 3~4 ] ⏵ d+4,4 T! ⏵ uf+3,4,3",,,,RFF,3+4
,,,,IMPORTANT MOVES,,,,,,,,,,LFS,f+3
,COMMAND GRABS,,,1,_Quick jab to start your offense and check situations,,,,"f,n,d,df+4","3+4 ⏵ RFF [ 3~4 ] ⏵ (dash) 4,4,u+4,4 T! ⏵ uf+3,4,3",,,,RFS,"f,n,4"
,qcb+3,1 escape,,df+1,_Mid attack to check situations,,,,,,,,,JFSR,"f,n,df+4"
,"2+4,b",2 escape,,db+3,_Low poke to harass opponents,,,,MORE COMBOS,,,,,,
,f+2+3,1+2 escape,,"d+3,4",_Low string that shifts to RFS for pressure,,,,u+3,"LFS d+3,4 ⏵ RFS 1 ⏵ d+4,4 T! ⏵ uf+3,4,3",,,,MATCHUP PUNISHMENT,
,uf+1+2,1+2 escape,,df+4,_Homing attack that shifts to RFF,,,,RFF f+[ 4~4 ],"u+3 ⏵ LFS uf+3+4~F ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,Slide,"ws+2,3 float"
,RFF 1+3 / 2+4,1+2 escape,,"f,f+3",_Mid attack useful for approaching and pressure,,,,LFS uf+4,"f+4⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,Asuka's b+3,"b+3 (close) ― f,f+4"
,,,,JFSR,_Keepout move. Requires perfect input,,,,RFS uf+4,"db+4~F⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,"Kazuya db+1,2","b+3 (close) ― f,f+4"
,DEFENSIVE OPTIONS,,,RFS and LFS,_Learn your options from these stances ,,,,CH sidestep 4,,,,,Ling Calli Roll,
,b+1+3 / b+2+4,"Punch Parry
press 4 on a successful parry",,,,,,,CH RFS df+4,,,,,Ling AOP 3+4,"ws+2,3 float"
,,,,PUNISHERS,,,,,CH RFF b+3,"(sidestep left)
db+4~F⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3                ",,,,"Leo's b+1,4",sidestep left the 2nd hit
,"df+3,4",Power Crush,,STARTUP,STANDING,CROUCHING,WHIFF PUNISHERS,,,,,,,Paul's Deathfist,df+3+4 ― b+3
,,,,10,"2,f+3",FC d+1,"4,3",,"CH d+4,4",u+3 ⏵ LFS 1 ⏵ u+3 ⏵ uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,Demoman (3rd hit),
,GUARANTEED FOLLOW-UPS,,,,"1,2,3 ― 1,2,4",,"uf+3+4,4",,"CH RFS f+4,4",,,,,"Alisa's b+3+4,3+4",b+3 before 2nd hit
,ws+3,"uf+3+4,4 ― df+3+4 (heat)",,11,"4,3","ws+4,4",b+3,,CH b+4,"RFF [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,"Claudio's f+2,2",
,CH f+1+2,,,12,...,"ws+1,4 NEW",,,"CH sidestep 3,3","LFS 1 ⏵ uf+3+4~F ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,"Kuma's f,f+2","b+3 (close) ― f,f+4"
,CH RFF b+4,"df+1,3 ― df+3+4 (heat)",,13,"df+1,3",...,,,,,,,,"Heihachi's f,f+2",b+3
,CH RFF df+4~F,"RFF 2,3",,,df+3+4 (heat),,,,"heat dash f,f+4~F","db+4~F⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! 
⏵ uf+3,4,3",,,,Jack's d+1+2,"f,f+4 (hard)"
,RFF [ 3~4 ],"f,f+3",,14,"uf+3+4,4",ws+3,,,heat dash LFS f+3~F,,,,,"Jack's df+1,2,1,2",...
,"RFF f,f+3",,,15,df+2,"ws+2,3",,,heat dash RFS b+3~F,,,,,King's JAG 4,ws+4 float
,"RFF (4),4",,,16,b+3,...,,,heat dash RFF df+3~F,,,,,...,
,"RFF (4),3",,,,,,,,"during heat RFS f+4,4",u+3 ⏵ LFS 1 ⏵ u+3 ⏵ uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,,
,CH uf+2,,,,,,,,,,,,,,
,"CH db+4,4",,,,,,,,WALL COMBOS,,,,,,
,CH RFF b+2,,,,,,,,GENERAL,"sidestep 3,3 ⏵ LFS 3,2",,,,,
,CH LFS db+4,,,,,,,,,"RFF f+3 ⏵ LFS f+3 ⏵ LFS 3,f+4",,,,,
,"CH (f,n,d,df+3+4),3",,,,,,,,WITH TORNADO,f+4 ⏵ RFS uf+4 T! ⏵ RFF [ 3~4 ] ⏵ b+3,,,,,
,,,,,,,,,,"b+3 T! ⏵ 3+4 ⏵ RFF f+3 ⏵ LFS f+3 ⏵ LFS 3,f+4",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,COMBO ENDERS,,,,,,
,,,,,,,,,FOR DMG,RFF f+3 ⏵ LFS [ 4~3 ],,,,,
,,,,,,,,,WALL CARRY,u+3 ⏵ LFS uf+3+4,uf+3+4,,,,
,,,,,,,,,WALL BREAK,"f,f+4","df+3,4","f,n,d,df+3",,,
,,,,,,,,,FLOOR BREAK,"f,f+3","LFS 2,3",u+3+4,,,